id_cliente,monto_solicitado,antiguedad_empresa_meses,rubro,estado_empresa,id_ejecutivo_venta,score_equifax,consultas_equifax_ultimos_6m,unidad_gestion_asignada,tasa_interes_asignada,target_default
10001,54034.0,90,Agricultura,Activa,424,556.0,2.0,Comercial_Norte,18.91,0
10002,32513.0,77,Servicios,Activa,531,612.0,3.0,Comercial_Digital,17.1,0
10003,60971.0,54,Servicios,Activa,144,575.0,4.0,Comercial_Norte,18.95,0
10004,122814.0,8,Agricultura,Activa,432,476.0,5.0,Comercial_Sur,18.72,0
10005,30112.0,55,Comercio,Activa,504,478.0,,Comercial_Digital,21.75,0
10006,30112.0,69,Manufactura,Activa,940,439.0,4.0,Comercial_Digital,19.39,0
10007,128460.0,44,Manufactura,Activa,805,621.0,5.0,Comercial_Digital,18.54,0
10008,67101.0,13,Agricultura,Activa,536,616.0,2.0,Comercial_Digital,17.61,0
10009,24945.0,93,Agricultura,Activa,979,667.0,5.0,Comercial_Digital,17.52,0
10010,56053.0,20,Manufactura,Activa,548,550.0,8.0,Comercial_Norte,19.48,0
10011,25066.0,78,Servicios,Activa,363,427.0,3.0,Comercial_Digital,20.4,0
10012,25020.0,32,Comercio,Activa,571,498.0,,Unidad_Activos_Especiales,19.36,1
10013,44072.0,60,Servicios,Activa,133,531.0,1.0,Comercial_Norte,18.85,1
10014,7859.0,50,Comercio,Activa,237,484.0,3.0,Comercial_Sur,17.78,0
10015,9137.0,27,Servicios,Activa,976,423.0,,Unidad_Activos_Especiales,21.49,1
10016,23160.0,25,Manufactura,Activa,484,645.0,5.0,Comercial_Sur,17.37,0
10017,16151.0,52,Servicios,Activa,262,610.0,4.0,Comercial_Norte,17.51,0
10018,46695.0,68,Servicios,Activa,460,713.0,6.0,Comercial_Sur,16.17,0
10019,17564.0,21,Comercio,Activa,602,772.0,3.0,Comercial_Sur,14.98,0
10020,11733.0,18,Servicios,Activa,666,380.0,,Unidad_Activos_Especiales,19.26,1
10021,117303.0,39,Comercio,Activa,637,558.0,4.0,Comercial_Digital,18.19,0
10022,30314.0,15,Comercio,Activa,679,612.0,,Comercial_Sur,17.81,0
10023,38331.0,53,Comercio,Activa,450,636.0,-0.0,Comercial_Norte,16.65,0
10024,11617.0,38,Manufactura,Activa,744,702.0,4.0,Comercial_Norte,16.52,0
10025,23494.0,48,Servicios,Activa,698,673.0,3.0,Comercial_Norte,17.75,0
10026,39685.0,52,Comercio,Activa,581,714.0,5.0,Comercial_Digital,15.69,0
10027,14461.0,88,Agricultura,Activa,178,606.0,1.0,Comercial_Norte,16.47,0
10028,49048.0,72,Manufactura,Activa,550,537.0,5.0,Comercial_Sur,18.99,0
10029,22460.0,28,Servicios,Activa,886,795.0,7.0,Comercial_Sur,15.5,0
10030,28757.0,85,Servicios,Activa,398,615.0,4.0,Comercial_Sur,19.49,0
10031,22441.0,16,Manufactura,Activa,650,576.0,0.0,Comercial_Digital,17.87,0
10032,159823.0,118,Comercio,Activa,330,493.0,4.0,Comercial_Norte,19.64,0
10033,35925.0,16,Servicios,Activa,510,546.0,,Comercial_Norte,20.02,1
10034,15581.0,35,Comercio,Activa,505,700.0,,Comercial_Sur,15.64,0
10035,70125.0,17,Comercio,Activa,916,550.0,,Comercial_Digital,19.31,0
10036,13675.0,73,Agricultura,Activa,413,587.0,6.0,Comercial_Sur,18.72,0
10037,42920.0,99,Servicios,Activa,926,625.0,3.0,Comercial_Norte,18.24,0
10038,7572.0,52,Comercio,Activa,306,647.0,5.0,Comercial_Norte,16.71,0
10039,12550.0,93,Manufactura,Activa,651,574.0,4.0,Comercial_Digital,17.47,0
10040,42510.0,103,Tecnología,Activa,717,491.0,,Comercial_Norte,19.38,1
10041,65563.0,82,Comercio,Activa,882,479.0,6.0,Unidad_Activos_Especiales,19.8,1
10042,41652.0,12,Comercio,Activa,387,489.0,3.0,Comercial_Digital,18.33,0
10043,33106.0,83,Agricultura,Activa,157,453.0,6.0,Unidad_Activos_Especiales,20.73,1
10044,28542.0,48,Servicios,Activa,450,450.0,4.0,Unidad_Activos_Especiales,21.09,1
10045,11128.0,22,Agricultura,Activa,599,446.0,5.0,Comercial_Sur,19.06,0
10046,20417.0,49,Servicios,Activa,155,699.0,3.0,Comercial_Sur,17.41,0
10047,25122.0,52,Servicios,Activa,202,636.0,4.0,Comercial_Sur,16.29,0
10048,84601.0,79,Comercio,Activa,474,614.0,5.0,Comercial_Sur,17.06,0
10049,47805.0,1,Comercio,Activa,151,730.0,5.0,Comercial_Digital,16.08,0
10050,8862.0,66,Manufactura,Activa,328,672.0,5.0,Comercial_Digital,17.02,0
10051,47064.0,64,Comercio,Activa,819,521.0,2.0,Comercial_Digital,20.54,0
10052,26687.0,8,Manufactura,Activa,383,647.0,8.0,Unidad_Activos_Especiales,17.93,1
10053,21130.0,86,Comercio,Activa,195,697.0,4.0,Comercial_Sur,16.82,0
10054,59239.0,25,Servicios,Activa,859,488.0,6.0,Comercial_Norte,19.01,0
10055,82851.0,66,Comercio,Activa,507,690.0,-1.0,Comercial_Sur,16.15,0
10056,76498.0,115,Servicios,Activa,481,553.0,6.0,Comercial_Sur,17.74,0
10057,18557.0,73,Servicios,Activa,776,700.0,6.0,Comercial_Digital,16.02,0
10058,28357.0,73,Servicios,Activa,801,566.0,4.0,Comercial_Digital,20.24,0
10059,47335.0,77,Servicios,Activa,104,547.0,-1.0,Comercial_Norte,18.68,0
10060,79256.0,70,Comercio,Activa,783,557.0,,Comercial_Digital,18.83,0
10061,24752.0,94,Comercio,Activa,405,503.0,2.0,Comercial_Norte,19.01,0
10062,31303.0,79,Manufactura,Activa,740,452.0,6.0,Comercial_Digital,19.28,0
10063,14987.0,51,Manufactura,Activa,547,350.0,2.0,Comercial_Digital,21.9,0
10064,13947.0,53,Servicios,Activa,560,495.0,5.0,Comercial_Norte,19.72,0
10065,69565.0,15,Comercio,Activa,343,793.0,3.0,Comercial_Norte,16.27,1
10066,107473.0,50,Servicios,Activa,847,648.0,6.0,Comercial_Digital,16.79,0
10067,34283.0,71,Servicios,Activa,555,786.0,4.0,Comercial_Sur,14.77,0
10068,81050.0,75,Servicios,Activa,356,568.0,3.0,Comercial_Digital,17.7,0
10069,48500.0,104,Comercio,Activa,242,553.0,2.0,Comercial_Digital,18.93,0
10070,21675.0,38,Manufactura,Activa,301,772.0,3.0,Comercial_Digital,16.49,0
10071,48490.0,40,Comercio,Activa,100,638.0,-2.0,Comercial_Sur,18.46,0
10072,124297.0,66,Servicios,Activa,592,504.0,8.0,Comercial_Digital,21.15,0
10073,35289.0,115,Comercio,Activa,919,663.0,7.0,Comercial_Norte,15.79,0
10074,126971.0,112,Agricultura,Activa,845,725.0,4.0,Comercial_Norte,16.46,0
10075,4466.0,39,Servicios,Activa,611,457.0,6.0,Comercial_Norte,20.59,0
10076,70089.0,74,Comercio,Activa,456,576.0,4.0,Unidad_Activos_Especiales,16.88,1
10077,38935.0,108,Agricultura,Activa,652,394.0,,Unidad_Activos_Especiales,22.05,1
10078,28589.0,17,Manufactura,Activa,930,720.0,6.0,Comercial_Digital,13.91,0
10079,39082.0,7,Servicios,Activa,376,623.0,4.0,Comercial_Sur,17.41,0
10080,7405.0,118,Tecnología,Activa,850,663.0,6.0,Comercial_Digital,15.4,0
10081,30463.0,104,Comercio,Activa,318,578.0,0.0,Comercial_Digital,21.35,0
10082,48324.0,39,Comercio,Activa,470,422.0,4.0,Comercial_Digital,20.56,0
10083,118458.0,68,Manufactura,Activa,151,556.0,4.0,Comercial_Norte,19.61,0
10084,23990.0,35,Manufactura,Activa,298,693.0,3.0,Comercial_Norte,16.63,0
10085,19019.0,51,Comercio,Activa,565,799.0,4.0,Comercial_Sur,14.31,0
10086,24309.0,47,Manufactura,Activa,903,558.0,,Unidad_Activos_Especiales,19.74,1
10087,75533.0,36,Manufactura,Activa,891,461.0,,Unidad_Activos_Especiales,20.05,1
10088,47240.0,64,Agricultura,Activa,600,654.0,4.0,Comercial_Norte,16.01,0
10089,23770.0,95,Comercio,Activa,710,684.0,10.0,Comercial_Digital,16.11,0
10090,54754.0,89,Servicios,Activa,167,613.0,2.0,Comercial_Norte,16.8,0
10091,39248.0,105,Comercio,Activa,348,607.0,5.0,Comercial_Digital,17.81,0
10092,78820.0,13,Comercio,Activa,869,551.0,,Unidad_Activos_Especiales,18.45,1
10093,20710.0,18,Comercio,Activa,966,534.0,3.0,Unidad_Activos_Especiales,18.78,1
10094,27942.0,21,Servicios,Activa,437,630.0,2.0,Comercial_Sur,18.03,0
10095,26537.0,112,Comercio,Activa,549,783.0,,Comercial_Sur,17.94,0
10096,11262.0,65,Comercio,Activa,190,397.0,1.0,Comercial_Digital,21.12,0
10097,46023.0,100,Comercio,Activa,924,576.0,2.0,Comercial_Sur,17.55,0
10098,44750.0,114,Servicios,Activa,930,437.0,,Unidad_Activos_Especiales,22.71,1
10099,36464.0,8,Comercio,Activa,715,718.0,9.0,Comercial_Digital,17.71,0
10100,30102.0,116,Servicios,Activa,938,586.0,,Comercial_Sur,18.76,0
10101,11704.0,48,Servicios,Activa,865,656.0,3.0,Comercial_Sur,17.3,0
10102,25939.0,85,Comercio,Activa,396,743.0,6.0,Comercial_Norte,16.25,0
